"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs","Avg_AUC","Max_Diff","MissingValues","UniqueCount"
"PropertyField21A",142,0.947889,0.000237,78,0.947690711117684,25,0.947789855558842,0.00347926310776336,5,25
"PersonalField49",83,0.947818,0.000169,98,0.947760086009813,24,0.947789043004907,0.00348007566169906,0,7
"PropertyField39A",162,0.947794,0.000238,76,0.947782995109154,25,0.947788497554577,0.0034806211120284,53,25
"SalesField2A",24,0.947771,0.000154,76,0.947800853205831,25,0.947785926602915,0.00348319206369019,362,25
"CoverageField2B",10,0.947861,4.1e-05,82,0.947710142989496,25,0.947785571494748,0.00348354717185784,0,25
"PersonalField6",42,0.947857,0.000325,78,0.947713381152813,24,0.947785190576407,0.00348392809019904,0,2
"GeographicField39A",239,0.947821,0.000371,75,0.947749372462804,25,0.947785186231402,0.0034839324352034,95,25
"CoverageField4A",13,0.947839,0.000107,79,0.947729939434231,25,0.947784469717115,0.00348464894949019,0,25
"Field6",1,0.947872,0.000225,89,0.947696146551026,25,0.947784073275513,0.0034850453910924,0,8
"PersonalField16",52,0.947785,0.000263,76,0.947781884424534,24,0.947783442212267,0.00348567645433828,0,50
"GeographicField39B",240,0.94777,0.000232,90,0.947793523381398,26,0.947781761690699,0.00348735697590652,95,25
"PropertyField21B",143,0.947853,9.1e-05,79,0.947708933980079,25,0.947780966990039,0.00348815167656624,5,25
"GeographicField46A",253,0.947819,0.000327,75,0.94774057528537,24,0.947779787642685,0.00348933102392035,2,25
"PropertyField39B",163,0.947771,0.000329,70,0.947787328919181,24,0.947779164459591,0.00348995420701492,53,25
"PersonalField72",106,0.947839,0.000301,78,0.947710865773151,24,0.947774932886575,0.00349418578003013,0,8
"PersonalField14",50,0.947869,0.00025,79,0.947679543541466,24,0.947774271770733,0.00349484689587276,0,30
"PersonalField15",51,0.947832,0.000225,104,0.947713271067599,25,0.9477726355338,0.00349648313280604,0,22
"PersonalField40",74,0.94782,0.000263,98,0.947722593800713,24,0.947771296900357,0.00349782176624902,0,10
"GeographicField33A",227,0.947764,0.000251,86,0.947776645640787,25,0.947770322820393,0.00349879584621227,15,25
"CoverageField4B",14,0.947801,0.00016,76,0.947738170954891,25,0.947769585477445,0.00349953318916008,0,25
"GeographicField35A",231,0.947808,0.000175,79,0.947730144952336,25,0.947769072476168,0.00350004619043753,23,25
"PropertyField7",126,0.947865,0.000377,76,0.947670383719045,24,0.947767691859522,0.00350142680708321,0,19
"PropertyField13",133,0.947801,0.000216,89,0.947721919408281,25,0.947761459704141,0.00350765896246497,0,4
"PropertyField22",144,0.947799,2e-04,104,0.947717905635829,24,0.947758452817914,0.00351066584869109,0,5
"GeographicField18B",198,0.947803,3.8e-05,80,0.947710440084618,25,0.947756720042309,0.00351239862429675,2,24
"GeographicField32A",225,0.947826,0.000196,79,0.947686623505237,25,0.947756311752619,0.00351280691398692,16,25
"GeographicField14A",189,0.947835,0.000212,78,0.947672922233953,24,0.947753961116977,0.00351515754962894,253814,1
"PropertyField26B",150,0.947767,0.000326,77,0.947735370433317,25,0.947751185216659,0.00351793344994689,60,25
"year",289,0.947776,0.000107,76,0.947724292313385,24,0.947750146156692,0.0035189725099134,0,3
"PersonalField39",73,0.9478,0.000259,109,0.947699216405427,24,0.947749608202713,0.00351951046389232,0,9
"GeographicField23A",207,0.947843,0.000169,83,0.947655461099546,24,0.947749230549773,0.00351988811683268,254096,1
"PropertyField36",160,0.947769,0.000162,92,0.947728273310904,24,0.947748636655452,0.0035204820111534,0,3
"GeographicField60A",281,0.94783,0.000245,78,0.947666585297178,24,0.947748292648589,0.00352082601801684,254239,1
"Field12",6,0.947861,0.000299,79,0.947633372915863,25,0.947747186457932,0.00352193220867392,0,2
"SalesField2B",25,0.947728,8.7e-05,72,0.947765659483458,25,0.947746829741729,0.00352228892487649,362,25
"SalesField13",35,0.947788,0.000272,100,0.947704416823224,24,0.947746208411612,0.00352291025499352,0,8
"GeographicField56A",273,0.947752,0.000315,92,0.947738539383689,24,0.947745269691845,0.00352384897476088,254153,1
"GeographicField22A",205,0.947787,0.000188,100,0.947701932676145,24,0.947744466338072,0.00352465232853327,254158,1
"SalesField15",37,0.947797,0.000271,78,0.947690464148929,24,0.947743732074465,0.00352538659214097,0,12
"GeographicField61A",283,0.947791,0.000166,107,0.9476908886807,24,0.94774094434035,0.00352817432625541,254170,1
"PropertyField26A",149,0.947816,0.000238,78,0.947664113874484,25,0.947740056937242,0.00352906172936374,60,25
"GeographicField46B",254,0.947803,0.000302,76,0.947675688438245,25,0.947739344219122,0.00352977444748315,2,25
"GeographicField64",288,0.947882,0.000259,72,0.947589518128423,24,0.947735759064212,0.00353335960239398,0,4
"GeographicField63",287,0.947823,0.000237,92,0.947648451505482,24,0.947735725752741,0.00353339291386479,0,3
"GeographicField3A",168,0.947767,0.000179,77,0.947704439187296,25,0.947735719593648,0.0035333990729578,0,25
"GeographicField33B",228,0.947734,0.000283,78,0.9477365989149,25,0.94773529945745,0.00353381920915574,15,25
"GeographicField3B",169,0.947792,0.000192,78,0.94767797747808,25,0.94773498873904,0.00353412992756574,0,25
"GeographicField30B",222,0.947807,0.000234,93,0.947660598088209,25,0.947733799044105,0.00353531962250087,49,25
"SalesField14",36,0.947788,0.000266,78,0.947676787940829,24,0.947732393970414,0.00353672469619126,0,12
"PropertyField2A",121,0.947759,0.000232,89,0.947702481174277,24,0.947730740587139,0.00353837807946689,254151,1
"PersonalField37",71,0.947837,0.000295,77,0.947622923881838,24,0.947729961940919,0.00353915672568639,0,6
"PersonalField34",68,0.947793,0.000252,85,0.947662395696853,24,0.947727697848426,0.00354142081817921,0,7
"GeographicField62A",285,0.947801,0.000233,91,0.947650186456166,24,0.947725593228083,0.00354352543852254,254144,1
